name,name_cn,bgm_id,bgm_score,fm_score,mal_score,ank_score,anl_score,score,time
30歳まで童貞だと魔法使いになれるらしい,到了30岁还是处男，似乎会变成魔法师,445708,5.6,7.2,7.65,7.0,7.2,6.49,"{'day': 28, 'month': 1, 'year': 2024}"
HIGH CARD season2,至高之牌 第二季,426156,6.3,5.8,7.25,None,6.95,6.34,"{'day': 28, 'month': 1, 'year': 2024}"
MONSTERS 一百三情飛龍侍極,怪兽 一百三情飞龙侍极,446475,5.4,7.4,7.76,None,7.75,6.472,"{'day': 28, 'month': 1, 'year': 2024}"
NEEDY GIRL OVERDOSE ショートアニメ「ある日の午後」,《主播女孩重度依赖》二周年放送短篇动画,476057,5.7,7.8,5.94,None,5.95,6.378,"{'day': 28, 'month': 1, 'year': 2024}"
SHAMAN KING FLOWERS,通灵王 FLOWERS,378797,6.1,6.6,6.94,6.0,6.3,6.418,"{'day': 28, 'month': 1, 'year': 2024}"
SYNDUALITY Noir 第2クール,奇异贤伴 黑色天使 第2部分,456042,6.4,5.4,7.1,6.4,6.6,6.24,"{'day': 28, 'month': 1, 'year': 2024}"
うる星やつら 第2期,福星小子 第二季,413635,7.7,7.8,7.76,7.4,7.5,7.742,"{'day': 28, 'month': 1, 'year': 2024}"
ぶっちぎり?!,绽裂?!,436745,7,7.0,7.52,None,7.15,7.104,"{'day': 28, 'month': 1, 'year': 2024}"
ぽんのみち,碰之道,437206,5.7,5.4,6.34,6.0,5.95,5.738,"{'day': 28, 'month': 1, 'year': 2024}"
ゆびさきと恋々,指尖相触，恋恋不舍,444334,6.6,8.0,8.28,6.2,8.15,7.356,"{'day': 28, 'month': 1, 'year': 2024}"
ようこそ実力至上主義の教室へ 3rd Season,欢迎来到实力至上主义教室 第三季,373266,6,8.0,8.1,6.2,8.0,7.02,"{'day': 28, 'month': 1, 'year': 2024}"
カードファイト!! ヴァンガード DivineZ,卡片战斗先导者 DivineZ,440878,5.7,5.4,6.59,0.0,6.4,5.788,"{'day': 28, 'month': 1, 'year': 2024}"
